Date,Open,High,Low,Close,Volume
11-Nov-14,566.43,572.8,565.59,570.87,254025
10-Nov-14,564.01,568.04,563.05,566.39,217011
7-Nov-14,566.11,567.28,559.56,562.23,322204
6-Nov-14,557.74,566.53,554.51,566.05,397095
5-Nov-14,559.11,563.15,554.29,559.15,340611
4-Nov-14,552.19,557.94,550.29,554.36,230179
3-Nov-14,556,556,545,552.18,1340968
31-Oct-14,554.89,556.65,551.02,553.52,295766
30-Oct-14,547.3,553.7,547.3,551.46,250067
29-Oct-14,551.01,551.36,546.3,550.04,270436
28-Oct-14,540.2,550.42,538.76,549.72,258506
27-Oct-14,537.2,541.63,535.05,539.57,251882
24-Oct-14,530.97,537.02,525.81,536.05,266532
23-Oct-14,525.2,535.39,525.11,531.57,228270
22-Oct-14,529.37,531.57,520.45,521.94,178019
21-Oct-14,520.73,530,518.1,526.94,236137
20-Oct-14,508.49,517.85,508.49,517.03,207394
17-Oct-14,506.66,509.79,503.12,507.59,286290
16-Oct-14,501.66,507.98,499.48,504.58,279350
15-Oct-14,500.5,508.67,491.93,505.99,357431
14-Oct-14,505.97,512.37,503.42,506.35,207653
13-Oct-14,509.03,511.79,501.39,501.78,216002
10-Oct-14,509.39,513.67,505.83,509.1,258824
9-Oct-14,517.35,517.35,507.57,508.32,336185
8-Oct-14,511.31,518.32,508.97,517.8,205764
7-Oct-14,509.86,515,506.31,511.72,262928
6-Oct-14,518.62,519.75,512.05,512.94,185158
3-Oct-14,514.62,520.51,511.98,518.11,269789
2-Oct-14,509.27,516.23,506.3,513.3,277770
1-Oct-14,509.66,513.43,507.14,508.01,292086
30-Sep-14,507.59,512.5,503.9,509.66,411410
29-Sep-14,506.07,509.9,504.37,507.84,230832
26-Sep-14,503.26,509.12,503.26,508.38,265246
25-Sep-14,505.64,509.37,504.5,504.62,225313
24-Sep-14,509.37,509.37,503.6,508.63,344726
23-Sep-14,501.56,513.04,501.22,507.79,467431
22-Sep-14,515.01,519.99,500.21,505.38,897342
19-Sep-14,536.03,536.03,525.7,526.44,440392
18-Sep-14,536.32,536.32,529.46,532.31,286021
