Date,Open,High,Low,Close,Volume
26-Mar-15,14.20,14.44,13.74,14.03,368802
25-Mar-15,14.30,14.85,14.08,14.27,382250
24-Mar-15,13.72,14.35,13.46,14.31,494237
23-Mar-15,13.17,14.10,13.05,13.94,567524
20-Mar-15,12.50,13.68,12.48,13.33,740333
19-Mar-15,13.60,13.79,12.28,12.48,1262579
18-Mar-15,15.30,15.34,13.60,13.85,1302573
17-Mar-15,16.35,16.49,15.00,15.13,897174
16-Mar-15,17.86,17.87,15.50,16.39,962872
13-Mar-15,18.04,18.08,17.42,17.81,316988
12-Mar-15,17.68,18.40,17.61,18.02,277909
11-Mar-15,17.57,17.78,17.21,17.58,239336
10-Mar-15,16.98,17.77,16.55,17.60,385794
9-Mar-15,18.50,18.59,16.67,17.01,600047
6-Mar-15,18.62,19.15,18.30,18.54,250455
5-Mar-15,18.75,19.21,17.82,18.76,551566
4-Mar-15,20.13,20.74,18.55,18.74,873750
3-Mar-15,19.80,20.98,19.44,20.22,443343
2-Mar-15,20.03,20.67,19.83,20.47,186724
27-Feb-15,21.78,21.88,19.82,20.14,710900
26-Feb-15,22.74,23.46,21.98,22.20,416160
25-Feb-15,23.44,23.73,22.31,22.69,570523
24-Feb-15,23.45,23.91,22.86,23.49,483035
23-Feb-15,23.74,24.51,22.00,23.56,1005837
20-Feb-15,23.73,24.02,22.75,23.20,679641
19-Feb-15,24.00,24.99,23.64,23.81,417984
18-Feb-15,23.41,25.68,23.41,24.16,612230
17-Feb-15,22.48,23.50,22.23,23.40,548522
13-Feb-15,22.45,23.39,21.90,22.32,420457
12-Feb-15,21.91,23.05,21.40,22.23,345561
11-Feb-15,21.84,22.16,21.10,21.52,315957
10-Feb-15,22.58,23.28,21.53,21.89,425545
9-Feb-15,23.38,24.70,21.90,22.39,656227
6-Feb-15,22.64,24.23,21.52,23.68,939334
5-Feb-15,21.69,23.42,21.36,22.46,799656
4-Feb-15,21.72,22.36,20.72,20.75,326384
3-Feb-15,20.48,22.76,20.20,21.75,677541
2-Feb-15,20.40,21.47,19.95,20.19,326441
30-Jan-15,19.91,21.97,18.50,20.28,1162164
29-Jan-15,21.18,21.18,19.93,20.56,539888
28-Jan-15,21.91,22.03,20.90,21.08,388975
27-Jan-15,21.90,22.24,21.40,21.91,535590
26-Jan-15,25.27,25.50,21.85,22.15,1425395
23-Jan-15,23.73,25.08,20.33,21.29,1324221
22-Jan-15,24.22,26.74,23.70,23.86,779971
21-Jan-15,21.20,27.90,20.66,24.71,2425346
20-Jan-15,25.00,26.96,21.08,21.26,2160228
16-Jan-15,18.01,32.88,17.76,27.66,4966177
15-Jan-15,18.20,20.25,18.05,18.37,1138637
14-Jan-15,17.02,18.36,16.00,18.06,1115051
13-Jan-15,26.50,26.50,16.00,16.49,3647359
12-Jan-15,28.69,29.24,26.59,26.94,347712
9-Jan-15,31.33,31.51,28.59,28.90,352375
8-Jan-15,30.24,31.62,30.00,31.41,137081
7-Jan-15,30.61,31.39,29.77,30.34,518090
6-Jan-15,32.50,32.89,29.19,30.48,402245
5-Jan-15,33.32,35.17,32.25,32.46,368499
2-Jan-15,33.83,35.25,33.56,34.17,285907
31-Dec-14,34.40,35.10,33.58,33.79,305131
30-Dec-14,34.34,34.73,33.51,34.17,273749
29-Dec-14,33.26,34.44,32.60,33.89,270713
26-Dec-14,33.93,34.77,32.91,33.40,445882
24-Dec-14,29.49,34.37,29.09,33.81,707518
23-Dec-14,31.42,31.96,28.20,29.44,1582692
22-Dec-14,45.91,45.99,30.72,31.49,2674806
19-Dec-14,48.00,48.45,47.10,47.54,503380
18-Dec-14,49.80,49.80,47.32,47.87,963571
17-Dec-14,47.58,51.53,46.97,51.36,260554
16-Dec-14,48.39,48.83,46.33,47.56,183684
15-Dec-14,49.37,49.84,48.14,48.66,141882
12-Dec-14,49.05,50.30,48.02,49.25,151643
11-Dec-14,49.48,50.84,49.07,49.72,133440
10-Dec-14,50.45,51.15,48.25,48.99,292331
9-Dec-14,48.31,51.07,48.02,50.93,238123
8-Dec-14,49.99,51.31,48.61,49.06,210768
5-Dec-14,49.78,50.61,48.33,50.36,231096
4-Dec-14,47.64,49.93,46.61,49.50,412275
3-Dec-14,48.46,49.79,47.05,47.64,282994
2-Dec-14,48.52,49.49,47.78,48.61,255770
1-Dec-14,52.14,52.79,48.40,48.52,315593
28-Nov-14,54.10,54.47,52.00,52.28,155088
26-Nov-14,54.66,54.66,53.69,54.13,177266
25-Nov-14,55.88,56.47,54.10,54.30,183894
24-Nov-14,56.39,57.48,55.37,55.96,593019
21-Nov-14,56.54,57.49,55.67,55.88,457887
20-Nov-14,52.48,56.55,52.48,55.97,595466
19-Nov-14,52.30,53.18,51.62,53.04,287046
18-Nov-14,52.30,53.10,50.83,52.60,781144
17-Nov-14,51.07,53.68,49.23,52.32,931329
14-Nov-14,54.45,54.75,50.86,51.76,1095955
13-Nov-14,60.34,61.53,54.83,55.00,1093200
12-Nov-14,59.97,65.00,55.66,60.50,2599056
11-Nov-14,70.05,74.57,69.83,72.78,610964
10-Nov-14,69.93,70.91,67.89,70.31,361863
7-Nov-14,69.81,71.39,69.29,70.05,260258
